Page Number,Lesson Number,Ex/Voc,Sing. / Perf.,Dual / Imperf.,Plural / Verbal N.,English Translations,Verb Form,Part of Speech,Exercise Number,Arabic Text,Quran Chapter/Surah,Quran Verse/Ayah,Warning
20,2,Vocabulary,سَنَةٌ,,سِنُونَ,year,,noun,,,,,
20,2,Vocabulary,فَاكِهَةٌ,,فَوَاكِهُ,fruit,,noun,,,,,
20,2,Vocabulary,كَثِيرٌ,,كَثِيرُونَ/كِثَارٌ,many,,noun,,,,,
20,2,Vocabulary,تَوَّابٌ,,تَوَّابُونَ,relenting (s.) repenting (pl.),,noun,,,,,
20,2,Vocabulary,مُكْرَمٌ,,مُكْرَمُونَ,honoured,,noun,,,,,
27,3,Vocabulary,جَنَّةٌ,,جَنَّاتٌ,garden,,noun,,,,,
27,3,Vocabulary,جَارِيَةٌ,,جَوَارٍ,"ship, young woman",,noun,,,,,
27,3,Vocabulary,حَقٌّ,,حُقُوقٌ,truth; true,,noun,,,,,
27,3,Vocabulary,فِتْنَةٌ,,فِتَنٌ,"affliction, temptation",,noun,,,,,
27,3,Vocabulary,بُشْرَىٰ,,,good tidings,,noun,,,,,
27,3,Vocabulary,اَلدُّنْيَا,,,world,,noun,,,,,
27,3,Vocabulary,وَادٍ,,,valley,,noun,,,,,
27,3,Vocabulary,عَصًا,,,"stick, staff",,noun,,,,,
27,3,Vocabulary,نَذِيرٌ,,نُذُرٌ,warner,,noun,,,,,
27,3,Vocabulary,هُدًى,,,guidance,,noun,,,,,
27,3,Vocabulary,مَكَّةُ,,,Mecca,,noun,,,,,
27,3,Vocabulary,فَقِيرٌ,,فُقَرَاءُ,poor,,noun,,,,,
27,3,Vocabulary,أَسْوَدُ,,سُودٌ,black,,noun,,,,,
27,3,Vocabulary,سَوْدَاءُ,,,(f.) black,,noun,,,,,
27,3,Vocabulary,أَبْيَضُ,,بِيضٌ,white,,noun,,,,,
27,3,Vocabulary,بَيْضَاءُ,,,(f.) white,,noun,,,,,
27,3,Vocabulary,عَالٍ,,,"high, lofty",,noun,,,,,
28,3,Vocabulary,عَالِيَةٌ,,,"(f.) high, lofty",,noun,,,,,
28,3,Vocabulary,لَطِيفٌ,,,gentle,,noun,,,,,
28,3,Vocabulary,جَاهِلٌ,,جَاهِلُونَ,ignorant,,noun,,,,,
32,4,Vocabulary,نَارٌ,,نِيرَانٌ,"(f.) fire, Hell",,noun,,,,,
32,4,Vocabulary,صَدَقَةٌ,,صَدَقَاتٌ,alms,,noun,,,,,
32,4,Vocabulary,عُرْفٌ,,أَعْرَافٌ,"crest, ridge, height",,noun,,,,,
32,4,Vocabulary,سَبِيلٌ,,سُبُلٌ,"(f.) way, road, path",,noun,,,,,
32,4,Vocabulary,سَفَرٌ,,أَسْفَارٌ,journey,,noun,,,,,
32,4,Vocabulary,ضَلَالٌ,,,error,,noun,,,,,
32,4,Vocabulary,فَسَادٌ,,,corruption,,noun,,,,,
32,4,Vocabulary,حَمْدٌ,,,praise,,noun,,,,,
32,4,Vocabulary,أَهْلٌ,,أَهْلُونَ,"people, family, folk",,noun,,,,,
32,4,Vocabulary,شَمْسٌ,,,sun,,noun,,,,,
32,4,Vocabulary,رَحِيمٌ,,,compassionate,,noun,,,,,
32,4,Vocabulary,صَابِرٌ,,,"patient, steadfast",,noun,,,,,
33,4,Vocabulary,مِنْ,,,"from, of",,noun,,,,,
33,4,Vocabulary,فِي,,,"in, concerning",,noun,,,,,
33,4,Vocabulary,لِ,,,"to, for",,noun,,,,,
33,4,Vocabulary,بِ,,,"in, at, by",,noun,,,,,
33,4,Vocabulary,عَلَىٰ,,,"on, against",,noun,,,,,
33,4,Vocabulary,إِلَىٰ,,,to (motion),,noun,,,,,
33,4,Vocabulary,مَعَ,,,with,,noun,,,,,
33,4,Vocabulary,بَيْنَ,,,"between, among",,noun,,,,,
37,5,Vocabulary,اِبْنٌ,,بَنُونَ/أَبْنَاءُ,son,,noun,,,,,
37,5,Vocabulary,وَلِيٌّ,,أَوْلِيَاءُ,"friend, protector",,noun,,,,,
37,5,Vocabulary,خَالِدٌ,,خَالِدُونَ,"remaining in, everlasting",,noun,,,,,
37,5,Vocabulary,صَالِحٌ,,,righteous,,noun,,,,,
37,5,Vocabulary,نِعْمَةٌ,,,"blessing, bounty",,noun,,,,,
37,5,Vocabulary,أَخٌ,,إِخْوَانٌ/إِخْوَةٌ,brother,,noun,,,,,
37,5,Vocabulary,رَبٌّ,,أَرْبَابٌ,lord,,noun,,,,,
37,5,Vocabulary,عَمَلٌ,,أَعْمَالٌ,work,,noun,,,,,
37,5,Vocabulary,حَسْبٌ,,,"sufficiency, reckoning",,noun,,,,,
37,5,Vocabulary,قَرِيبٌ,,,near,,noun,,,,,
37,5,Vocabulary,سَمِيعٌ,,,hearing (adjective),,noun,,,,,
37,5,Vocabulary,حَيَاةٌ/(حَيَوةٌ),,,life,,noun,,,,,
41,6,Vocabulary,أُمَّةٌ,,أُمَمٌ,community,,noun,,,,,
41,6,Vocabulary,بِنْتٌ,,بَنَاتٌ,daughter,,noun,,,,,
41,6,Vocabulary,شَيْءٌ,,أَشْيَاءُ,thing,,noun,,,,,
41,6,Vocabulary,دَارٌ,,دُورٌ/دِيَارٌ,(f.) abode,,noun,,,,,
41,6,Vocabulary,حِزْبٌ,,أَحْزَابٌ,party,,noun,,,,,
41,6,Vocabulary,أَثَرٌ,,آثَارٌ,track; effect,,noun,,,,,
41,6,Vocabulary,لِسَانٌ,,أَلْسِنَةٌ,tongue,,noun,,,,,
41,6,Vocabulary,نَاقَةٌ,,إِبِلٌ,she-camel,,noun,,,,,
41,6,Vocabulary,نَهْرٌ,,أَنْهَارٌ,river,,noun,,,,,
41,6,Vocabulary,فَضْلٌ,,,bounty,,noun,,,,,
41,6,Vocabulary,سِحْرٌ,,,magic,,noun,,,,,
41,6,Vocabulary,صِرَاطٌ,,,"way, path",,noun,,,,,
41,6,Vocabulary,قَمِيصٌ,,,shirt,,noun,,,,,
41,6,Vocabulary,مُخْطِئٌ,,,sinner,,noun,,,,,
41,6,Vocabulary,قَلِيلٌ,,,few,,noun,,,,,
41,6,Vocabulary,مُسْتَقِيمٌ,,,straight,,noun,,,,,
41,6,Vocabulary,عَجِيبٌ,,,"amazing, strange, wonderful",,noun,,,,,
41,6,Vocabulary,حَلَالٌ,,,permissible,,noun,,,,,
41,6,Vocabulary,حَرَامٌ,,,"forbidden, sacred",,noun,,,,,
41,6,Vocabulary,بَعِيدٌ,,,"far reaching, distant",,noun,,,,,
42,6,Vocabulary,يَسِيرٌ,,,easy,,noun,,,,,
42,6,Vocabulary,عَسِيرٌ,,,difficult,,noun,,,,,
42,6,Vocabulary,قَبْلَ,,,before,,noun,,,,,
42,6,Vocabulary,بَعْدَ,,,after,,noun,,,,,
47,7,Vocabulary,الرَّحْمَٰنُ,,,the Merciful,,noun,,,,,
47,7,Vocabulary,,,الْعَالَمِينَ,(gen. pl. only) created beings,,noun,,,,,
47,7,Vocabulary,شَفَا,,,"lip, rim, edge",,noun,,,,,
47,7,Vocabulary,حُفْرَةٌ,,,pit,,noun,,,,,
47,7,Vocabulary,أَبٌ,,آبَاءٌ,father,,noun,,,,,
47,7,Vocabulary,صَاحِبٌ,,أَصْحَابٌ,"companion, inhabitant",,noun,,,,,
47,7,Vocabulary,طَائِفَةٌ,,,"group, number, party",,noun,,,,,
47,7,Vocabulary,امْرَأَةٌ,,نِسَاءٌ/نِسْوَةٌ,woman,,noun,,,,,
47,7,Vocabulary,أَمْرٌ,,أُمُورٌ,"affair, matter,command",,noun,,,,,
47,7,Vocabulary,إِنْسَانٌ,,أُنَاسٌ,man; people (pl.),,noun,,,,,
47,7,Vocabulary,ذُو,,أُولُو,possessor of,,noun,,,,,
47,7,Vocabulary,اسْمٌ,,أَسْمَاءٌ,name,,noun,,,,,
47,7,Vocabulary,آيَاتٌ,,,"hearts, intellects",,noun,,,,,
47,7,Vocabulary,بَصَرٌ,,أَبْصَارٌ,sight; eye,,noun,,,,,
47,7,Vocabulary,يَدٌ,,أَيْدٍ,(f.) hand,,noun,,,,,
48,7,Vocabulary,عَدُوٌّ,,أَعْدَاءٌ,enemy,,noun,,,,,
48,7,Vocabulary,شَيْطَانٌ,,شَيَاطِينُ,devil,,noun,,,,,
48,7,Vocabulary,سُوءٌ,,,evil,,noun,,,,,
48,7,Vocabulary,عَاقِبَةٌ,,,"end, consequence",,noun,,,,,
48,7,Vocabulary,مَدِينَةٌ,,مُدُنٌ,city,,noun,,,,,
48,7,Vocabulary,بَيْتٌ,,بُيُوتٌ,house,,noun,,,,,
53,8,Vocabulary,بَعَثَ,يَبْعَثُ,بَعْثٌ,"to send, raise",,verb,,,,,
53,8,Vocabulary,بَلَغَ,يَبْلُغُ,بُلُوغٌ,to reach,,verb,,,,,
53,8,Vocabulary,جَعَلَ,يَجْعَلُ,جَعْلٌ,"to make, assign, appoint",,verb,,,,,
54,8,Vocabulary,حَمَلَ,يَحْمِلُ,حَمْلٌ,to carry,,verb,,,,,
54,8,Vocabulary,خَلَقَ,يَخْلُقُ,خَلْقٌ,to create,,verb,,,,,
54,8,Vocabulary,دَخَلَ,يَدْخُلُ,دُخُولٌ,to enter,,verb,,,,,
54,8,Vocabulary,ذَكَرَ,يَذْكُرُ,ذِكْرٌ,to mention,,verb,,,,,
54,8,Vocabulary,ذَهَبَ,يَذْهَبُ,ذَهَابٌ,to go away,,verb,,,,,
54,8,Vocabulary,سَمِعَ,يَسْمَعُ,سَمْعٌ,to hear,,verb,,,,,
54,8,Vocabulary,شَرِبَ,يَشْرَبُ,شُرْبٌ,to drink,,verb,,,,,
54,8,Vocabulary,شَهِدَ,يَشْهَدُ,شَهَادَةٌ,to witness,,verb,,,,,
54,8,Vocabulary,ضَرَبَ,يَضْرِبُ,ضَرْبٌ,"to strike, coin, journey",,verb,,,,,
54,8,Vocabulary,عَمِلَ,يَعْمَلُ,عَمَلٌ,"to do, work",,verb,,,,,
54,8,Vocabulary,كَتَبَ,يَكْتُبُ,كِتَابَةٌ,to write,,verb,,,,,
54,8,Vocabulary,وَجَدَ,يَجِدُ,وُجُودٌ,to find,,verb,,,,,
54,8,Vocabulary,وَعَدَ,يَعِدُ,وَعْدٌ,to promise,,verb,,,,,
54,8,Vocabulary,رَجَعَ,يَرْجِعُ,رُجُوعٌ,to return,,verb,,,,,
54,8,Vocabulary,ظَهَرَ,يَظْهَرُ,ظُهُورٌ,to appear,,verb,,,,,
54,8,Vocabulary,كَرِهَ,يَكْرَهُ,كُرْهٌ,"to be reluctant, hate",,verb,,,,,
54,8,Vocabulary,لَبِثَ,يَلْبَثُ,لَبْثٌ,"to tarry, linger",,verb,,,,,
54,8,Vocabulary,سَيِّئَةٌ,,سَيِّئَاتٌ,"evil, ill",,noun,,,,,
54,8,Vocabulary,قَمَرٌ,,,moon,,noun,,,,,
54,8,Vocabulary,ضِيَاءٌ,,,"light, illumination",,noun,,,,,
55,8,Vocabulary,نُورٌ,,أَنْوَارٌ,light,,noun,,,,,
55,8,Vocabulary,مِثْلٌ,,أَمْثَالٌ,"likeness, parallel",,noun,,,,,
55,8,Vocabulary,مَطْلِعٌ,,,rising-place,,noun,,,,,
55,8,Vocabulary,مَغْرِبٌ,,مَغَارِبُ,setting-place,,noun,,,,,
55,8,Vocabulary,بَرٌّ,,,land,,noun,,,,,
55,8,Vocabulary,بَحْرٌ,,بِحَارٌ,sea,,noun,,,,,
55,8,Vocabulary,حِمْلٌ,,,load,,noun,,,,,
55,8,Vocabulary,يَوْمُ,,الْبَعْثِ,Day of Resurrection,,noun,,,,,
55,8,Vocabulary,الزَّبُورُ,,,the Psalms,,noun,,,,,
55,8,Vocabulary,خَفِيفٌ,,,light (adj.),,noun,,,,,
60,9,Vocabulary,أَخَذَ,يَأْخُذُ,أَخْذٌ,"to take, seize",,verb,,,,,
60,9,Vocabulary,أَمَرَ,يَأْمُرُ,أَمْرٌ,to order,,verb,,,,,
60,9,Vocabulary,تَبِعَ,يَتْبَعُ,تَبَعٌ,to follow,,verb,,,,,
60,9,Vocabulary,خَرَجَ,يَخْرُجُ,خُرُوجٌ,to go out,,verb,,,,,
60,9,Vocabulary,رَفَعَ,يَرْفَعُ,رَفْعٌ,to raise,,verb,,,,,
60,9,Vocabulary,سَأَلَ,يَسْأَلُ,سُؤَالٌ,to ask,,verb,,,,,
60,9,Vocabulary,فَعَلَ,يَفْعَلُ,فِعْلَةٌ,to do,,verb,,,,,
60,9,Vocabulary,كَذَبَ,يَكْذِبُ,كَذِبٌ,to tell lies,,verb,,,,,
60,9,Vocabulary,نَصَرَ,يَنْصُرُ,نَصْرٌ,to help,,verb,,,,,
60,9,Vocabulary,عَلِمَ,يَعْلَمُ,عِلْمٌ,to know,,verb,,,,,
60,9,Vocabulary,إِذْنٌ,,,permission,,noun,,,,,
60,9,Vocabulary,نَهْرٌ,,أَنْهَارٌ,river,,noun,,,,,
60,9,Vocabulary,ذَنْبٌ,,ذُنُوبٌ,sin,,noun,,,,,
60,9,Vocabulary,لَعْنَةٌ,,,curse,,noun,,,,,
60,9,Vocabulary,سَلَامٌ,,,peace,,noun,,,,,
60,9,Vocabulary,رِجْلٌ,,أَرْجُلٌ,(f.) foot,,noun,,,,,
60,9,Vocabulary,نَفْسٌ,,أَنْفُسٌ,"(f.) soul, self",,noun,,,,,
60,9,Vocabulary,وَلَدٌ,,أَوْلَادٌ,child,,noun,,,,,
61,9,Vocabulary,خِلَالَ,,,through,,noun,,,,,
61,9,Vocabulary,عَنْ,,,away from; concerning,,noun,,,,,
66,10,Vocabulary,تَرَكَ,يَتْرُكُ,تَرْكٌ,to leave,,verb,,,,,
66,10,Vocabulary,ظَلَمَ,يَظْلِمُ,ظُلْمٌ,to do wrong,,verb,,,,,
66,10,Vocabulary,كَسَبَ,يَكْسِبُ,كَسْبٌ,"to acquire, earn, gain",,verb,,,,,
66,10,Vocabulary,عَمِلَ,يَعْمَلُ,عَمَلٌ,"to do, work",,verb,,,,,
66,10,Vocabulary,فَرِحَ,يَفْرَحُ,فَرَحٌ,to rejoice in,,verb,,,,,
66,10,Vocabulary,فَرَضَ,يَفْرِضُ,فَرْضٌ,"to assign, prescribe",,verb,,,,,
66,10,Vocabulary,قَدَّمَ,يُقَدِّمُ,قُدُومٌ,"to come, advance on",,verb,,,,,
66,10,Vocabulary,كَنَزَ,يَكْنِزُ,كَنْزٌ,to store,,verb,,,,,
66,10,Vocabulary,مَنَعَ,يَمْنَعُ,مَنْعٌ,to prevent,,verb,,,,,
66,10,Vocabulary,وَقَعَ,يَقَعُ,وُقُوعٌ,"to fall, come to pass",,verb,,,,,
67,10,Vocabulary,بَشَرٌ,,,"human being (s.); men, human beings (pl.)",,noun,,,,,
67,10,Vocabulary,سُوءٌ,,,"evil, wrong",,noun,,,,,
67,10,Vocabulary,شَهِيدٌ,,شُهَدَاءُ,witness,,noun,,,,,
67,10,Vocabulary,قَوْلٌ,,أَقْوَالٌ / [أَقَاوِيلُ],"saying, words",,noun,,,,,
67,10,Vocabulary,مَقَامٌ,,,station,,noun,,,,,
67,10,Vocabulary,مُلْكٌ,,,"sovereignty, kingdom",,noun,,,,,
67,10,Vocabulary,عِلْمٌ,,عُلُومٌ,knowledge,,noun,,,,,
67,10,Vocabulary,نَاصِرٌ/نَصِيرٌ,,أَنْصَارٌ,helper,,noun,,,,,
67,10,Vocabulary,نِصْفٌ,,,half,,noun,,,,,
67,10,Vocabulary,خَيْرٌ,,,good,,noun,,,,,
67,10,Vocabulary,مَجْنُونٌ,,,possessed (by Jinn),,noun,,,,,
67,10,Vocabulary,مَعْرُوفٌ,,,kindness; proper,,noun,,,,,
67,10,Vocabulary,مَعْلُومٌ,,,known,,noun,,,,,
67,10,Vocabulary,مَيِّتٌ,,مَوْتَىٰ,dead,,noun,,,,,
67,10,Vocabulary,خَلْفَ,,,behind,,noun,,,,,
67,10,Vocabulary,عِنْدَ,,,"with, in the possession of",,noun,,,,,
67,10,Vocabulary,إِلَّا,,,except,,noun,,,,,
72,11,Vocabulary,حَفِظَ,يَحْفَظُ,حِفْظٌ,"to guard, preserve, keep",,verb,,,,,
72,11,Vocabulary,فَتَحَ,يَفْتَحُ,فَتْحٌ,to open,,verb,,,,,
72,11,Vocabulary,نَظَرَ,يَنْظُرُ,نَظَرٌ,"to look at (إِلَىٰ), into (فِي)",,verb,,,,,
72,11,Vocabulary,إِثْمٌ,,,sin,,noun,,,,,
72,11,Vocabulary,أَجَلٌ,,,term,,noun,,,,,
72,11,Vocabulary,ثَمَرَةٌ,,ثَمَرَاتٌ,fruit,,noun,,,,,
72,11,Vocabulary,حَفِيظٌ,,حَفَظَةٌ,guardian,,noun,,,,,
72,11,Vocabulary,رَهِينٌ,,,"hostage, pledged",,noun,,,,,
72,11,Vocabulary,سَيَّارَةٌ,,سَيَّارَاتٌ,caravan,,noun,,,,,
73,11,Vocabulary,ظَنٌّ,,ظُنُونٌ,"thought, supposition, suspicion, conjecture",,noun,,,,,
73,11,Vocabulary,مَغْفِرَةٌ,,,forgiveness,,noun,,,,,
73,11,Vocabulary,مَكَانٌ,,أَمْكِنَةٌ,"place, side",,noun,,,,,
73,11,Vocabulary,لَيْلٌ,,لَيَالٍ,"night, night time",,noun,,,,,
73,11,Vocabulary,مَرَّةٌ,,مَرَّاتٌ / مِرَارٌ,"time, occasion",,noun,,,,,
73,11,Vocabulary,مَوْتٌ,,,death,,noun,,,,,
73,11,Vocabulary,نَهَارٌ,,,"day, daytime",,noun,,,,,
73,11,Vocabulary,طَعَامٌ,,,food,,noun,,,,,
73,11,Vocabulary,نَبِيٌّ,,أَنْبِيَاءُ,prophet,,noun,,,,,
73,11,Vocabulary,بَابٌ,,أَبْوَابٌ,"gate, door",,noun,,,,,
73,11,Vocabulary,رَجِيمٌ,,,accursed,,noun,,,,,
73,11,Vocabulary,مُسْتَطَرٌ,,,inscribed,,noun,,,,,
73,11,Vocabulary,صَغِيرٌ,,,small,,noun,,,,,
73,11,Vocabulary,قَدِيرٌ,,,having power over,,noun,,,,,
73,11,Vocabulary,فَوْقَ,,,"above, over (sometimes used as a synonym for *ʿalā*, ‘on’.)",,noun,,,,,
78,12,Vocabulary,كَانَ,يَكُونُ,كَوْنٌ,to be,,verb,,,,,
78,12,Vocabulary,قَالَ,يَقُولُ,قَوْلٌ,to say,,verb,,,,,
78,12,Vocabulary,سَكَتَ,يَسْكُتُ,سُكُوتٌ,to abate; (+*ʿan*) to leave,,verb,,,,,
78,12,Vocabulary,مَلَكٌ,,مَلَائِكَةٌ,angel,,noun,,,,,
79,12,Vocabulary,حَرَجٌ,,,"trouble, difficulty",,noun,,,,,
79,12,Vocabulary,أُسْوَةٌ,,,example,,noun,,,,,
79,12,Vocabulary,بِضَاعَةٌ,,بِضَائِعُ,merchandise,,noun,,,,,
79,12,Vocabulary,رَقِيبٌ,,,watcher,,noun,,,,,
79,12,Vocabulary,سَارِقٌ,,سَارِقُونَ,thief,,noun,,,,,
79,12,Vocabulary,عِبْرَةٌ,,,"lesson, warning",,noun,,,,,
79,12,Vocabulary,عَجَبٌ,,,wonder,,noun,,,,,
79,12,Vocabulary,غَضَبٌ,,,anger,,noun,,,,,
79,12,Vocabulary,غَفْلَةٌ,,,heedlessness,,noun,,,,,
79,12,Vocabulary,قَصَصٌ,,,story,,noun,,,,,
79,12,Vocabulary,لَوْحٌ,,أَلْوَاحٌ,tablet,,noun,,,,,
79,12,Vocabulary,مَتَاعٌ,,أَمْتِعَةٌ,"goods, baggage",,noun,,,,,
79,12,Vocabulary,فَاحِشَةٌ,,فَوَاحِشُ,abomination,,noun,,,,,
79,12,Vocabulary,هَشِيمٌ,,,"dry twigs, stubble",,noun,,,,,
79,12,Vocabulary,بَصِيرٌ,,,"observant, seeing",,noun,,,,,
79,12,Vocabulary,حَسَنٌ,,,"fine, good",,noun,,,,,
79,12,Vocabulary,غَافِلٌ,,,heedless,,noun,,,,,
79,12,Vocabulary,خَبِيرٌ,,,aware,,noun,,,,,
79,12,Vocabulary,غَفُورٌ,,,forgiving,,noun,,,,,
79,12,Vocabulary,مَفْعُولٌ,,,done,,noun,,,,,
79,12,Vocabulary,مَرِيضٌ,,مَرْضَىٰ,"ill, sick",,noun,,,,,
79,12,Vocabulary,مُوسَىٰ,,,Moses,,noun,,,,,
80,12,Vocabulary,إِبْرَاهِيمُ,,,Abraham,,noun,,,,,
84,13,Vocabulary,أَكَلَ,يَأْكُلُ,أَكْلٌ,to eat,,verb,,,,,
84,13,Vocabulary,سِجْنٌ,,,prison,,noun,,,,,
84,13,Vocabulary,وَالِدٌ,,,father; (dual) parents,,noun,,,,,
84,13,Vocabulary,فَتًى,,فِتْيَةٌ,youth,,noun,,,,,
84,13,Vocabulary,سَاحِرٌ,,,"magician, sorcerer",,noun,,,,,
84,13,Vocabulary,بُرْهَانٌ,,,proof,,noun,,,,,
84,13,Vocabulary,مَجْمَعٌ,,,"meeting, meeting-place, confluence",,noun,,,,,
84,13,Vocabulary,عَيْنٌ,,عُيُونٌ,"(f.) spring (When عَيْنٌ has the sense of ‘eye’, its Qurʾānic plural is أَعْيُنٌ)",,noun,,,,,
84,13,Vocabulary,جَنَّةٌ,,,"obstacle, partition, veil",,noun,,,,,
84,13,Vocabulary,شَرِيكٌ,,شُرَكَاءُ,"partner, associate",,noun,,,,,
84,13,Vocabulary,زَرْعٌ,,,cultivation; green crops,,noun,,,,,
84,13,Vocabulary,نَخْلٌ,,,date-palms,,noun,,,,,
84,13,Vocabulary,رُمَّانٌ,,,pomegranates,,noun,,,,,
84,13,Vocabulary,مَبْسُوطٌ,,,"spread, extended",,noun,,,,,
84,13,Vocabulary,فِئَةٌ,,,"party, group",,noun,,,,,
91,14,Vocabulary,حِجَّةٌ,,حِجَجٌ,year,,noun,,,,,
91,14,Vocabulary,عَامٌ,,أَعْوَامٌ,year,,noun,,,,,
91,14,Vocabulary,شَهْرٌ,,شُهُورٌ/أَشْهُرٌ,month,,noun,,,,,
91,14,Vocabulary,كَوَاكَبٌ,,كَوْكَبٌ,star,,noun,,,,,
91,14,Vocabulary,نَقِيبٌ,,نُقَبَاءُ,chief,,noun,,,,,
92,14,Vocabulary,مِسْكِينٌ,,مَسَاكِينُ,"poor, destitute",,noun,,,,,
92,14,Vocabulary,جَلْدَةٌ,,,"lash, stripe",,noun,,,,,
92,14,Vocabulary,عَجِيفٌ,,عِجَافٌ,thin,,noun,,,,,
96,15,Vocabulary,أَخَّرَ,يُؤَخِّرُ,تَأْخِيرٌ,to defer,2,verb,,,,,
96,15,Vocabulary,عَلَّمَ,يُعَلِّمُ,تَعْلِيمٌ,to teach,2,verb,,,,,
96,15,Vocabulary,قَدَّمَ,يُقَدِّمُ,تَقْدِيمٌ,"to send forward, to bring forward",2,verb,,,,,
96,15,Vocabulary,كَذَّبَ,يُكَذِّبُ,تَكْذِيبٌ,"to deny, give the lie to",2,verb,,,,,
96,15,Vocabulary,جَادَلَ,يُجَادِلُ,جِدَالٌ,"to dispute, contend with",3,verb,,,,,
96,15,Vocabulary,جَاهَدَ,يُجَاهِدُ,جِهَادٌ,to strive,3,verb,,,,,
96,15,Vocabulary,قَاتَلَ,يُقَاتِلُ,قِتَالٌ,"to fight, confound",3,verb,,,,,
96,15,Vocabulary,أَرْسَلَ,يُرْسِلُ,إِرْسَالٌ,to send,4,verb,,,,,
96,15,Vocabulary,أَنْزَلَ,يُنْزِلُ,إِنْزَالٌ,to send down,4,verb,,,,,
96,15,Vocabulary,أَهْلَكَ,يُهْلِكُ,إِهْلَاكٌ,to destroy,4,verb,,,,,
